label	tokenized_title_okt
0	유튜브 크리에이터 금액 공간 운영
1	어버이날 맑다 흐려지다 남부 지방 옅다 황사
0	국가 평가 논문 건수 반영
0	김명자 신임 과총 회장 금액 젊다 과학자 지혜 모으다
1	회색 인간 작가 동식 양심 고백 소설 추다
0	야외 생방송 액션 전용 금제 잇따르다
2	월드컵 태극전사 초기 레오 입성
3	미세먼지 출근길
4	왓츠앱 금액 성나다 레바논 민심 총리 사퇴 이어지다
4	베트남 경제 성장 지속 분기 수치 성장
4	그리스 국전 참전 기념 참전용사 한반도 평화 금액
5	정진석 이정현 현실 냉정하다 보다 물러나다 좋다
4	베네수엘라 구호 반입 촉구 안보리 결의 추진
2	황재균 쐐기 갈다 바쁘다 삼성 고춧가루
5	정상회담 대통령 취임 남북관계 주요 일지
0	분기 영업 금액 마케팅 비용 감소
4	금액 시장 아부다비 루브르 박물관 방문
0	방심위 강릉 고성 산불 현장 보도 관계자 징계
4	파키스탄 경제 카타르 달러 투자 유치
4	일본 예산 팽창 재정 건전성 우려 장기 채무
4	칠레 민중 가수 살해 미국 도피 군인 법정 서다
4	온라인 중국인 비자 신청 받다
0	밉다 동부 마비 시키다 악성 파일 국내 서도 발견
0	국내 발간 나노 분야 학술지 나노 컨버전 등재
0	상용 행정절차 완료 이통 동시 전파 발사
1	예스 독자 선정 여행 이유
5	이해찬 정경두 금액 기무사 같다
0	미래부 부처 구비 관리 시스템 통합
2	손흥민 승부 갖다 거치다 반성
0	텔레콤 안양시 모빌리티 스마트 시티 조성 업무 협약
1	울산 건조 주의보
6	기업 규제 직접 피해 수입 불확실 문제
4	산업 경제 보복 비판 여론 언론 제대로 이해
2	포효 황의조 매치 집중 유지
5	최근 금액 시험 응시 경제 비용 금액
4	트럼프 의회 장벽 예산 합의 가능성 수치 이하
2	프리미어 보다 뛰다
4	베네수엘라 대통령 미국 관계 금액 대화 재개 합의
5	대통령 울산 십리 대숲 재래시장 방문 휴가 민생 행보
2	어빙 통산 보스턴 동부 토론토 제압
2	월드컵 하나은행 대표팀 행운 달러 선물
2	라바 아르헨 설욕 이재영 동료 프레스코 경계
2	제임스 떠나다 클리블랜드 전체 꼴찌
1	디자인 역사 기둥 잡지 돌아보다
0	게시판 윌림 누구 플레이 개발 공모전 최우수상
2	정성훈 친정 기회 구단 감사
1	전국 곳곳 저녁 강하다 바람 최고
5	대통령 대통령 임제 지속 가능하다 국정 과제 추진 어렵다 속보
6	시중 통화량 기비 수치 증가 확대
1	반민특위 임무 아직 끝나다
0	애플 퀀텀닷 결합 차세대 디스플레이 금액
4	터키 에르도안 자국 외교관 겨냥 테러 비판 악의 공격
5	대통령 내주 국회 일정 재개 여야 도부 환담 유력
4	트럼프 내부고발자 금액 정보 출석 동의
2	미국 프로스포츠 커밍아웃 출전 축구선수 로저스 은퇴
0	통신사 인수합병 당국 더디다 심사 사업 지장
4	민주 전대 힐러리 만들다 사람 가족
5	대통령 에티오피아 입맛 현지 자다 통해
1	황사 미세먼지 기승 잿빛 나들이 줄다
1	신간 방화 사건 말기
4	인니 항공 당국 추락 보잉 조종사 대화 보도 사실 달라
4	석유 왕국 사우디 태양광 풍력 발전 중심지
4	시보 미사일방어 전략 북미 담판 도움
1	개최 중국 항저우 초대
1	신간 빠지다 죽지
6	집주인 매입 임대주택 사업 상시 접수
2	채프먼 헤이더 금액 투수 수상
2	눈물 흘리다 말컹 리거 구심 떨치다
3	관훈클럽 금액 선임 창립 기념
0	태국 열리다 삼성 페이 론칭 행사
1	강풍 영하 날씨
4	커지다 중국 기업 채무불이행 리스크 최고
1	한국 관광 공사 국내 숙소 체험 모으다 여행자 추다
1	태풍 솔릭 접근 제주 항공기 이착륙 어리다
0	분리 공시 놓다 이통 시장 분란 조짐 전자 흔들다
2	파울 사고 이상 발생
6	금값 하락 펀드 수익률 추락 최근 수치
6	세탁기 분야 미국 특허 전자 삼성 전자
6	동탄 신도시 분양 행복 주택 건설 민간 참여
0	게시판 정보보호 대상 접수
5	총리 어떻다 경우 국가 기능 안정 유지 속보
6	명성 티엔 에스 삼성 스팩 코스닥 신규 상장
2	금액 대전 코레일 내셔널 축구선수 합류
4	짐바브웨 대통령 무가베 시신 영웅 묘역 고향 묻히다
5	국민의당 부산시 발기인 대회 열리다 대회
2	메시 통산 유럽 골든 최종 확정 호날두
5	전문가 협상 대북 압박 통해 상호주 필요
6	하나 금투 코스피 등락
5	민주 금액 대표 경선 출마 선출
6	은행 점포 폐쇄때 고객 영향 평가 불편 최소 대책 유도
2	프로농구 모비스 시즌 안기다 연승
2	아시안 게임 이승우 멀티골 한국 축구 베트남
4	트럼프 갈등 밉다 법무부 장관 사임
4	밉다 무역 협상 시한 연장 가능성
5	독일 주독 대사 후임 임명 동의 거부
6	금액 사단 유니 시티 순위 청약 몰리다
5	국방 검열 천안함 사건 소행 설다 억지 주장
4	지도자 연봉 오바마 금액 시진핑 금액
0	전자 휴대전화 국내 생산 중단 베트남 거점 이동
0	엔터 분기 영업 수치 페이 지속 성장
2	트레이드 성사 잠실구장 사령탑 불펜 투수 필요하다
2	통일 농구 북단 평양 교육 시설 참관 귀환
4	모으다 기부 음식점 고교생 금액 선행
5	전쟁 참전용사 추모 건립 금액 통과
2	류현진 이닝 무실점 시즌 눈앞
4	사우디 이라크 스포츠 도시 건설 금액 금액
1	부산 남천동 벚꽃 개화 만발
